id;city;postal_code;street;building_no;door_no
1;Kerlukechester;Interactions Versatile hack;Moen Summit;line applications;Sports withdrawal Architect
2;Surprise;Michigan Corporate Mandatory;Kunde Land;didactic Chips purple;bypass microchip
3;Chanelview;invoice;Kovacek Summit;Designer the;solution policy Grove
4;Cheektowaga;interactive;Kovacek Springs;orchid Leone Alaska;Guilder
5;VonRuedenside;National Soap;Minerva Plains;Shoes;HTTP grow USB
6;New Isabelle;Bacon morph;Cynthia Trafficway;projection Taka JBOD;Accounts blue invoice
7;Wisozkbury;Borders Greece;Flossie Walks;calculate bus Cheese;multi-tasking Supervisor
8;Gresham;Tasty Cuban;Brennon Crescent;Principal Personal;Pound Shoes Gloves
9;Harlingen;virtual;Leonardo Inlet;Computer;open-source Montana
10;West America;compressing Unbranded;Isaias Villages;Marketing;Investor back Computers
