id;price;quantity;created_at;updated_at
1;94542;64904;2022-02-08T07:59:26;2022-02-08T01:14:11
2;97440;80419;2022-02-08T03:54:38;2022-02-08T04:24:24
3;68568;85436;2022-02-08T17:47:44;2022-02-09T00:21:19
4;94230;60964;2022-02-08T12:09:35;2022-02-08T03:05:32
5;10657;19610;2022-02-08T20:24:41;2022-02-08T07:39:11
6;83527;9466;2022-02-08T06:59:08;2022-02-08T08:40:44
7;75848;38216;2022-02-08T20:07:06;2022-02-08T08:29:41
8;78311;84051;2022-02-08T17:56:06;2022-02-08T12:13:26
9;63647;67507;2022-02-08T01:50:50;2022-02-08T02:55:32
10;7797;84418;2022-02-08T03:22:11;2022-02-08T08:47:03
