id;price;quantity;created_at;updated_at
1;12024;32637;2022-02-08T15:29:34;2022-02-08T11:36:35
2;72110;24236;2022-02-08T04:45:02;2022-02-08T10:11:26
3;64013;33900;2022-02-08T22:29:38;2022-02-08T13:33:00
4;25386;84545;2022-02-08T21:32:01;2022-02-08T09:00:55
5;14207;41230;2022-02-08T23:28:32;2022-02-08T11:15:23
6;15279;60658;2022-02-08T16:42:59;2022-02-08T21:42:38
7;77503;86927;2022-02-08T15:09:15;2022-02-08T06:57:59
8;77797;52411;2022-02-08T20:42:32;2022-02-08T18:11:15
9;78920;97533;2022-02-08T18:45:20;2022-02-08T07:11:13
10;956;11085;2022-02-08T19:38:36;2022-02-08T04:11:45
