id;name;price;quantity;discount_percent;status;created_at;updated_at;category_id
1;Steel;31485;98311;82284;PUBLISHED;2022-02-08T10:55:21;2022-02-08T05:11:45;1
2;support navigate;81149;69097;16316;PUBLISHED;2022-02-08T06:25:03;2022-02-08T03:08:00;1
3;Dynamic Pound withdrawal;88209;64964;8294;PUBLISHED;2022-02-08T13:59:41;2022-02-08T23:11:28;1
4;Metal;83023;40879;70307;PUBLISHED;2022-02-08T14:18:09;2022-02-08T22:22:31;2
5;Infrastructure;91058;85179;82822;PUBLISHED;2022-02-08T11:28:24;2022-02-08T09:22:41;2
6;Bedfordshire;60561;70316;51217;PUBLISHED;2022-02-08T16:49:39;2022-02-08T11:39:56;2
7;Ball Small;78661;16911;11502;PUBLISHED;2022-02-08T07:48:43;2022-02-08T01:50:08;2
8;orange Practical;80588;95487;35518;PUBLISHED;2022-02-08T03:15:59;2022-02-08T19:46:16;2
9;Sports COM Implementation;5182;54741;15779;PUBLISHED;2022-02-08T18:04:53;2022-02-08T12:01:27;3
10;Prairie;14557;63453;86573;PUBLISHED;2022-02-08T01:25:54;2022-02-08T20:58:02;3
