id;text;rating;created_at;updated_at
1;panel;7068;2022-02-08T22:19:29;2022-02-08T20:30:15
2;bifurcated;60390;2022-02-08T23:08:30;2022-02-08T13:13:21
3;infrastructure;12602;2022-02-08T04:34:25;2022-02-08T17:15:31
4;Unbranded;51217;2022-02-08T12:37:47;2022-02-08T01:14:47
5;Jersey Coordinator Berkshire;23499;2022-02-09T00:11:58;2022-02-08T08:49:43
6;Intelligent Account;31346;2022-02-08T00:47:46;2022-02-08T09:15:34
7;human-resource invoice;76028;2022-02-08T05:48:00;2022-02-08T22:03:29
8;Keyboard;39685;2022-02-08T11:54:18;2022-02-08T07:04:47
9;framework explicit;22573;2022-02-08T13:15:39;2022-02-08T11:41:00
10;Avon;17398;2022-02-08T15:09:49;2022-02-08T12:45:31
